City_ID,City,Country,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Current Description
350,Navalmoral De La Mata,ES,39.8916,-5.5406,46.96,94,38,1.72,scattered clouds
351,Provideniya,RU,64.3833,-173.3,6.91,66,0,8.0,clear sky
352,Haines Junction,CA,60.7522,-137.5108,-11.04,97,100,1.59,light snow
353,Te Anau,NZ,-45.4167,167.7167,68.99,65,74,2.08,broken clouds
354,Chernyshevskiy,RU,63.0128,112.4714,-14.37,88,100,2.46,overcast clouds
355,Chumikan,RU,54.7183,135.315,-14.64,87,94,5.8,overcast clouds
356,Beroroha,MG,-21.6667,45.1667,72.72,81,87,1.84,overcast clouds
357,Lircay,PE,-12.9896,-74.7205,50.63,83,99,1.61,overcast clouds
358,Tamandare,BR,-8.7597,-35.1047,79.02,79,2,2.91,clear sky
359,Mehamn,NO,71.0357,27.8492,31.12,74,100,10.41,light snow
